device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price,used_price_inr,new_price_inr,age_months,brand_encoded
honor,Android,14.5,yes,no,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,4.307572449,4.715100245,6683.4000016779755,10045.799996380627,4.233333333333333,9
honor,Android,17.3,yes,yes,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,5.162096647,5.519017936,15707.7000057059,22445.099995261695,10.833333333333334,9
honor,Android,16.69,yes,yes,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,5.111083765,5.884630724,14926.49999413297,32352.2999856365,5.4,9
honor,Android,25.5,yes,yes,13.0,8.0,64.0,6.0,7250.0,480.0,2020,345,5.135386588,5.630960854,15293.700006943127,25103.699992862086,11.5,9
honor,Android,15.32,yes,no,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,4.389994804,4.947837479,7257.5999976553685,12678.299996548776,9.766666666666667,9
honor,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,4.413888608,5.060694494,7433.100001318438,14193.000000440084,7.433333333333334,9
honor,Android,13.84,yes,no,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,3.878259375,4.518958489,4350.5999988021185,8256.59999860442,7.8,9
honor,Android,15.77,yes,no,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,4.729421148,5.18872569,10190.699996678362,16131.600001323724,7.3,9
honor,Android,15.32,yes,no,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,4.886054204,5.299916088,11918.700000728551,18028.80000159133,5.366666666666666,9
honor,Android,16.23,yes,no,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,4.773223771,5.073610093,10647.000000166716,14377.499996295723,10.9,9
honor,Android,15.47,yes,no,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,4.26703657,4.713665782,6417.899999741923,10031.399998581654,8.933333333333334,9
honor,Android,15.32,yes,no,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,4.657383057,4.770176021,9482.39999587491,10614.60000453925,11.466666666666667,9
honor,Android,16.69,yes,yes,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,5.383255763,6.213967894,19595.69999874142,44971.200020922,17.9,9
honor,Android,15.32,yes,no,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,4.617592706,5.398750764,9112.500000121665,19901.700002601006,11.2,9
honor,Android,14.5,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,4.111365547,4.487512143,5492.7000024365425,8001.000003841608,7.666666666666667,9
honor,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,4.411221293,4.866225902,7413.300000347255,11684.699995651397,8.266666666666667,9
honor,Android,15.9,yes,no,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,5.022366217,5.517934708,13659.300000383086,22420.799998078808,13.166666666666666,9
honor,Android,16.74,yes,no,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,4.777020443,5.193179048,10687.500000911099,16203.599993117818,14.033333333333333,9
honor,Android,14.5,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,4.248638089,4.792313433,6300.900000068641,10852.199999335204,17.733333333333334,9
honor,Android,25.43,yes,no,5.0,2.0,32.0,3.0,5100.0,173.0,2019,266,4.267877613,5.517051209,6423.300000109348,22400.999991632187,8.866666666666667,9
